Name,Icon,City,State,Latitude,Longitude
Crew 38,racist-skinhead,,Virginia,37.436158,-78.65
Die Auserwahlten,racist-skinhead,Pleasanton,Nebraska,40.967511,-99.086477
Aryan Strikeforce,racist-skinhead,,Virginia,37.435885,-78.65
Crew 38,racist-skinhead,,Florida,27.669542,-81.51
Keystone State Skinheads,racist-skinhead,Philadelphia,Pennsylvania,39.95,-75.16
Aryan Terror Brigade,racist-skinhead,,Florida,27.66,-81.508598
Aryan Strikeforce,racist-skinhead,,Florida,27.653426,-81.51
Eastern Hammerskins,racist-skinhead,Allentown,Pennsylvania,40.6,-75.49
Blood and Honour U.S.A.,racist-skinhead,Littleton,Colorado,39.61,-105.01
Northwest Hammerskins,racist-skinhead,,Idaho,44.068347,-114.74
Aryan Terror Brigade,racist-skinhead,,Louisiana,30.997034,-91.96
AC Skins,racist-skinhead,Pine Hill,New Jersey,39.78,-74.99
Aryan Strikeforce,racist-skinhead,,Missouri,37.96,-91.825104
Aryan Terror Brigade,racist-skinhead,,Kentucky,37.83,-84.270973
Vinlanders Indiana,racist-skinhead,Knightstown,Indiana,39.79,-85.52
Crew 38,racist-skinhead,,New Hampshire,43.186154,-71.57
AC Skins,racist-skinhead,Pemberton Township,New Jersey,39.967122,-74.58
Blood and Honour U.S.A.,racist-skinhead,Salem,Ohio,40.9,-80.85
AC Skins,racist-skinhead,Brick,New Jersey,40.05,-74.13
Confederate Hammerskins,racist-skinhead,Orlando,Florida,28.54864,-81.375686
Aryan Strikeforce,racist-skinhead,,Indiana,40.263547,-86.13
AC Skins,racist-skinhead,Somers Point,New Jersey,39.31,-74.6
American Front,racist-skinhead,Roselle,New Jersey,40.65,-74.25
Vinlanders Ohio,racist-skinhead,,Ohio,40.103832,-83.030024
Golden State Solidarity,racist-skinhead,Oakland,California,37.8,-122.27
Blood and Honour U.S.A.,racist-skinhead,Altoona,Pennsylvania,40.51868,-78.394735
Aryan Strikeforce,racist-skinhead,,Massachusetts,42.403686,-71.38
Aryan Strikeforce,racist-skinhead,,Pennsylvania,41.205006,-77.19
Crew 38,racist-skinhead,Dallas,Georgia,33.92,-84.84
Aryan Terror Brigade,racist-skinhead,,Pennsylvania,41.2,-77.189598
American Front,racist-skinhead,Saint Cloud,Florida,28.248901,-81.28118
Sacto Skinheads,racist-skinhead,Sacramento,California,38.58,-121.494713
Die Auserwahlten,racist-skinhead,,Texas,31.966435,-99.9
Aryan Terror Brigade,racist-skinhead,,Virginia,37.43,-78.64872
Aryan Strikeforce,racist-skinhead,,Iowa,41.874163,-93.09
Confederate Hammerskins,racist-skinhead,Ocala,Florida,29.200179,-82.067952
Old Glory Skinheads,racist-skinhead,Mt Airy,North Carolina,36.49,-80.6
Northern Hammerskins,racist-skinhead,Chicago,Illinois,41.87,-87.62249
Orange County Skins,racist-skinhead,,California,33.71,-117.83
Die Auserwahlten,racist-skinhead,,Florida,27.66,-81.495209
Crew 38,racist-skinhead,Seattle,Washington,47.6,-122.33
Aryan Terror Brigade,racist-skinhead,,Missouri,37.962877,-91.83
Aryan Strikeforce,racist-skinhead,,Kentucky,37.836903,-84.27
Supreme White Alliance,racist-skinhead,Columbus,Ohio,40.113832,-83.020024
Sadistic Souls Skinheads,racist-skinhead,Wood River,Illinois,38.86,-90.09
Aryan Terror Brigade,racist-skinhead,,Oklahoma,35.000191,-97.09
American Front,racist-skinhead,Sacramento,California,38.576622,-121.49
AC Skins,racist-skinhead,Absecon,New Jersey,39.42,-74.49
Aryan Strikeforce,racist-skinhead,,Minnesota,46.72,-94.68
Aryan Terror Brigade,racist-skinhead,,California,36.737508,-119.41
Confederate Hammerskins,racist-skinhead,Nashville,Tennessee,36.16,-86.78
Crew 38,racist-skinhead,Wichita,Kansas,37.68,-97.33
AC Skins,racist-skinhead,Galloway,New Jersey,39.49,-74.55
Blood and Honour U.S.A.,racist-skinhead,Richardson,Texas,32.94,-96.72
AC Skins,racist-skinhead,Brigantine,New Jersey,39.41,-74.36
Aryan Strikeforce,racist-skinhead,,Illinois,40.63,-89.39
AC Skins,racist-skinhead,Little Egg Harbor Township,New Jersey,39.61,-74.35
American Front,racist-skinhead,Haledon,New Jersey,40.93,-74.18
Crew 38,racist-skinhead,Birmingham,Alabama,33.52,-86.8
Vinlanders Minnesota,racist-skinhead,,Minnesota,44.897318,-93.102714
Vinlanders Texas,racist-skinhead,,Texas,31.96,-99.897652
Aryan Strikeforce,racist-skinhead,,Oklahoma,35,-97.09
Aryan Terror Brigade,racist-skinhead,,Massachusetts,42.4,-71.38607
Midland Hammerskins,racist-skinhead,Wichita,Kansas,37.696628,-97.341321
Crew 38,racist-skinhead,,Indiana,40.26,-86.123543
Crew 38,racist-skinhead,,Mississippi,32.35,-89.396095
Die Auserwahlten,racist-skinhead,,Pennsylvania,41.208364,-77.19
Aryan Terror Brigade,racist-skinhead,,Nevada,38.796373,-116.41
Aryan Strikeforce,racist-skinhead,,Vermont,44.551579,-72.57
Confederate Hammerskins,racist-skinhead,,North Carolina,35.75,-79.005089
Confederate Hammerskins,racist-skinhead,Jacksonville,Florida,30.33,-81.65
Confederate Hammerskins,racist-skinhead,Columbia,South Carolina,34,-81.03
Western Hammerskins,racist-skinhead,San Diego,California,32.710782,-117.156173
Die Auserwahlten,racist-skinhead,Salt Lake City,Utah,40.756392,-111.898592
Vinlanders New Jersey,racist-skinhead,Point Pleasant Beach,New Jersey,40.09,-74.04
Aryan Terror Brigade,racist-skinhead,,Nebraska,41.487235,-99.9
Aryan Strikeforce,racist-skinhead,,Ohio,40.41,-82.9
Supreme White Alliance,racist-skinhead,,Missouri,37.956109,-91.83
Confederate Hammerskins,racist-skinhead,Huntsville,Alabama,34.73,-86.58
The Hated,racist-skinhead,Toms River,New Jersey,39.95,-74.19
Aryan Terror Brigade,racist-skinhead,,Oregon,43.798111,-120.55
AC Skins,racist-skinhead,Wildwood,New Jersey,38.99,-74.81
Northern Hammerskins,racist-skinhead,Detroit,Michigan,42.333423,-83.04
Die Auserwahlten,racist-skinhead,Brownsfield,Louisiana,30.69,-90.97
Aryan Strikeforce,racist-skinhead,,Arizona,34.043557,-111.09
Aryan Strikeforce,racist-skinhead,Somerville,New Jersey,40.57,-74.6
Aryan Terror Brigade,racist-skinhead,,Ohio,40.408529,-82.9
Maryland State Skinheads,racist-skinhead,Baltimore,Maryland,39.29,-76.61
Midland hammerskins,racist-skinhead,,South Dakota,43.96,-99.894905
AC Skins,racist-skinhead,Marmora,New Jersey,39.26,-74.64
